0,1002, generated, node, -
0,1004, generated, node, -
0,1000, generated, node, -
0,1001, generated, node, -
0,1003, generated, node, -
0, 1000,Appended, Transaction, 2301
0, 1000, broadcasting, data, 2301
1,1001,received,transaction,2301 
1, 1001, broadcasting, data, 2301
2,1003,received,transaction,2301 
2, 1003, broadcasting, data, 2301
2,1002,received,transaction,2301 
2, 1002, broadcasting, data, 2301
2,1004,received,transaction,2301 
2, 1004, broadcasting, data, 2301
5, 1003,Appended, Transaction, 2302
5, 1003, broadcasting, data, 2302
6,1004,received,transaction,2302 
6, 1004, broadcasting, data, 2302
7,1000,received,transaction,2302 
7, 1000, broadcasting, data, 2302
7,1001,received,transaction,2302 
7, 1001, broadcasting, data, 2302
8,1002,received,transaction,2302 
8, 1002, broadcasting, data, 2302
10, 1000,Appended, Transaction, 2303
10, 1000, broadcasting, data, 2303
11,1001,received,transaction,2303 
11, 1001, broadcasting, data, 2303
12,1003,received,transaction,2303 
12, 1003, broadcasting, data, 2303
12,1002,received,transaction,2303 
12, 1002, broadcasting, data, 2303
12,1004,received,transaction,2303 
12, 1004, broadcasting, data, 2303
14, 1001,Appended, Transaction, 2304
14, 1001, broadcasting, data, 2304
15, 1001, Created, block, 1
No of blocks in node 1001 is 1
15, 1001, broadcasting, data, 1
15,1002,received,transaction,2304 
15, 1002, broadcasting, data, 2304
15,1004,received,transaction,2304 
15, 1004, broadcasting, data, 2304
15,1000,received,transaction,2304 
15, 1000, broadcasting, data, 2304
16, 1002, Created, block, 1
No of blocks in node 1002 is 1
16, 1002, broadcasting, data, 1
16, 1004, Created, block, 1
No of blocks in node 1004 is 1
16, 1004, broadcasting, data, 1
16, 1000, Created, block, 1
No of blocks in node 1000 is 1
16, 1000, broadcasting, data, 1
16,1003,received,transaction,2304 
16, 1003, broadcasting, data, 2304
17, 1003, broadcasting, data, 1
17,1003, received, block, 1
17,1003, interrupted, block, 1 
No of blocks in node 1003 is 1
20, 1001,Appended, Transaction, 2305
20, 1001, broadcasting, data, 2305
21,1002,received,transaction,2305 
21, 1002, broadcasting, data, 2305
21,1004,received,transaction,2305 
21, 1004, broadcasting, data, 2305
21,1000,received,transaction,2305 
21, 1000, broadcasting, data, 2305
22,1003,received,transaction,2305 
22, 1003, broadcasting, data, 2305
25, 1000,Appended, Transaction, 2306
25, 1000, broadcasting, data, 2306
26,1001,received,transaction,2306 
26, 1001, broadcasting, data, 2306
27,1003,received,transaction,2306 
27, 1003, broadcasting, data, 2306
27,1002,received,transaction,2306 
27, 1002, broadcasting, data, 2306
27,1004,received,transaction,2306 
27, 1004, broadcasting, data, 2306
30, 1002,Appended, Transaction, 2307
30, 1002, broadcasting, data, 2307
31, 1002, Created, block, 2
No of blocks in node 1002 is 2
31, 1002, broadcasting, data, 2
31,1001,received,transaction,2307 
31, 1001, broadcasting, data, 2307
32, 1001, broadcasting, data, 2
32,1001, received, block, 2
32,1001, interrupted, block, 2 
32,1004,received,transaction,2307 
32, 1004, broadcasting, data, 2307
32,1000,received,transaction,2307 
32, 1000, broadcasting, data, 2307
33, 1004, broadcasting, data, 2
33,1004, received, block, 2
33,1004, interrupted, block, 2 
33, 1000, broadcasting, data, 2
33,1000, received, block, 2
33,1000, interrupted, block, 2 
33, 1001, Created, block, 2
No of blocks in node 1001 is 2
33, 1001, broadcasting, data, 2
33,1003,received,transaction,2307 
33, 1003, broadcasting, data, 2307
34, 1003, broadcasting, data, 2
34,1003, received, block, 2
34,1003, interrupted, block, 2 
No of blocks in node 1003 is 2
34, 1004, Created, block, 2
No of blocks in node 1004 is 2
34, 1004, broadcasting, data, 2
34, 1000, Created, block, 2
No of blocks in node 1000 is 2
34, 1000, broadcasting, data, 2
35, 1001,Appended, Transaction, 2308
35, 1001, broadcasting, data, 2308
36,1002,received,transaction,2308 
36, 1002, broadcasting, data, 2308
36,1004,received,transaction,2308 
36, 1004, broadcasting, data, 2308
36,1000,received,transaction,2308 
36, 1000, broadcasting, data, 2308
37,1003,received,transaction,2308 
37, 1003, broadcasting, data, 2308
39, 1000,Appended, Transaction, 2309
39, 1000, broadcasting, data, 2309
40,1001,received,transaction,2309 
40, 1001, broadcasting, data, 2309
41,1003,received,transaction,2309 
41, 1003, broadcasting, data, 2309
41,1002,received,transaction,2309 
41, 1002, broadcasting, data, 2309
41,1004,received,transaction,2309 
41, 1004, broadcasting, data, 2309
44, 1002,Appended, Transaction, 2310
44, 1002, broadcasting, data, 2310
45, 1002, Created, block, 3
No of blocks in node 1002 is 3
45, 1002, broadcasting, data, 3
45,1001,received,transaction,2310 
45, 1001, broadcasting, data, 2310
46, 1001, broadcasting, data, 3
46,1001, received, block, 3
46,1001, interrupted, block, 3 
46,1004,received,transaction,2310 
46, 1004, broadcasting, data, 2310
46,1000,received,transaction,2310 
46, 1000, broadcasting, data, 2310
47, 1004, broadcasting, data, 3
47,1004, received, block, 3
47,1004, interrupted, block, 3 
47, 1000, broadcasting, data, 3
47,1000, received, block, 3
47,1000, interrupted, block, 3 
47, 1001, Created, block, 3
No of blocks in node 1001 is 3
47, 1001, broadcasting, data, 3
47,1003,received,transaction,2310 
47, 1003, broadcasting, data, 2310
48, 1003, broadcasting, data, 3
48,1003, received, block, 3
48,1003, interrupted, block, 3 
No of blocks in node 1003 is 3
48, 1004, Created, block, 3
No of blocks in node 1004 is 3
48, 1004, broadcasting, data, 3
48, 1000, Created, block, 3
No of blocks in node 1000 is 3
48, 1000, broadcasting, data, 3
49, 1000,Appended, Transaction, 2311
49, 1000, broadcasting, data, 2311
Simulation ended
