Time,message_count
1,2
2,2
3,3
4,3
5,5
6,4
7,4
8,3
9,3
10,4
11,4
12,4
13,3
14,3
15,5
16,5
17,5
18,3
19,3
20,6
21,6
22,6
23,6
24,12
25,12
26,12
27,12
28,10
29,11
30,13
31,13
32,13
33,8
34,12
35,8
36,8
37,7
38,7
39,6
40,8
41,8
42,4
43,4
44,3
45,5
46,5
47,4
48,10
49,12
