0,1000, generated, node, -
0,1002, generated, node, -
0,1004, generated, node, -
0,1003, generated, node, -
0,1001, generated, node, -
0, 1001,Appended, Transaction, 2301
0, 1001, broadcasting, data, 2301
3,1003,received,transaction,2301 
3, 1003, broadcasting, data, 2301
4, 1004,Appended, Transaction, 2302
4, 1004, broadcasting, data, 2302
5,1002,received,transaction,2301 
5, 1002, broadcasting, data, 2301
8,1004,received,transaction,2301 
8, 1004, broadcasting, data, 2301
9,1000,received,transaction,2302 
9, 1000, broadcasting, data, 2302
9,1003,received,transaction,2302 
9, 1003, broadcasting, data, 2302
9, 1000,Appended, Transaction, 2303
9, 1000, broadcasting, data, 2303
12,1002,received,transaction,2302 
12, 1002, broadcasting, data, 2302
12,1001,received,transaction,2302 
12, 1001, broadcasting, data, 2302
13,1000,received,transaction,2301 
13, 1000, broadcasting, data, 2301
14,1004,received,transaction,2303 
14, 1004, broadcasting, data, 2303
14, 1000,Appended, Transaction, 2304
14, 1000, broadcasting, data, 2304
15, 1000, Created, block, 1
No of blocks in node 1000 is 1
15, 1000, broadcasting, data, 1
19, 1004,Appended, Transaction, 2305
19, 1004, broadcasting, data, 2305
19,1003,received,transaction,2303 
19, 1003, broadcasting, data, 2303
19,1004,received,transaction,2304 
19, 1004, broadcasting, data, 2304
20, 1004, broadcasting, data, 1
20,1004, received, block, 1
20,1004, interrupted, block, 1 
No of blocks in node 1004 is 1
22,1002,received,transaction,2303 
22, 1002, broadcasting, data, 2303
22,1001,received,transaction,2303 
22, 1001, broadcasting, data, 2303
23, 1003,Appended, Transaction, 2306
23, 1003, broadcasting, data, 2306
24, 1003, Created, block, 1
No of blocks in node 1003 is 1
24, 1003, broadcasting, data, 1
24,1000,received,transaction,2305 
24, 1000, broadcasting, data, 2305
24,1003,received,transaction,2305 
24, 1003, broadcasting, data, 2305
24,1003,received,transaction,2304 
24, 1003, broadcasting, data, 2304
26,1002,received,transaction,2306 
26, 1002, broadcasting, data, 2306
26,1001,received,transaction,2306 
26, 1001, broadcasting, data, 2306
27, 1002, broadcasting, data, 1
27,1002, received, block, 1
27,1002, interrupted, block, 1 
No of blocks in node 1002 is 1
27, 1001, broadcasting, data, 1
27,1001, received, block, 1
27,1001, interrupted, block, 1 
No of blocks in node 1001 is 1
27,1002,received,transaction,2305 
27, 1002, broadcasting, data, 2305
27,1001,received,transaction,2305 
27, 1001, broadcasting, data, 2305
27,1002,received,transaction,2304 
27, 1002, broadcasting, data, 2304
27,1001,received,transaction,2304 
27, 1001, broadcasting, data, 2304
28,1004,received,transaction,2306 
28, 1004, broadcasting, data, 2306
28, 1001,Appended, Transaction, 2307
28, 1001, broadcasting, data, 2307
30, 1001, Created, block, 1
No of blocks in node 1001 is 2
30, 1001, broadcasting, data, 1
31,1003,received,transaction,2307 
31, 1003, broadcasting, data, 2307
32, 1003, Created, block, 1
No of blocks in node 1003 is 2
32, 1003, broadcasting, data, 1
33,1000,received,transaction,2306 
33, 1000, broadcasting, data, 2306
33,1002,received,transaction,2307 
33, 1002, broadcasting, data, 2307
33, 1003,Appended, Transaction, 2308
33, 1003, broadcasting, data, 2308
34, 1002, Created, block, 1
No of blocks in node 1002 is 2
34, 1002, broadcasting, data, 1
36,1004,received,transaction,2307 
36, 1004, broadcasting, data, 2307
36,1002,received,transaction,2308 
36, 1002, broadcasting, data, 2308
36,1001,received,transaction,2308 
36, 1001, broadcasting, data, 2308
37, 1004, Created, block, 1
No of blocks in node 1004 is 2
37, 1004, broadcasting, data, 1
38,1004,received,transaction,2308 
38, 1004, broadcasting, data, 2308
39, 1004,Appended, Transaction, 2309
39, 1004, broadcasting, data, 2309
41,1000,received,transaction,2307 
41, 1000, broadcasting, data, 2307
42, 1000, Created, block, 1
No of blocks in node 1000 is 2
42, 1000, broadcasting, data, 1
43,1000,received,transaction,2308 
43, 1000, broadcasting, data, 2308
44,1000,received,transaction,2309 
44, 1000, broadcasting, data, 2309
44,1003,received,transaction,2309 
44, 1003, broadcasting, data, 2309
44, 1002,Appended, Transaction, 2310
44, 1002, broadcasting, data, 2310
47,1002,received,transaction,2309 
47, 1002, broadcasting, data, 2309
47,1001,received,transaction,2309 
47, 1001, broadcasting, data, 2309
47,1003,received,transaction,2310 
47, 1003, broadcasting, data, 2310
48, 1002, Created, block, 1
No of blocks in node 1002 is 3
48, 1002, broadcasting, data, 1
48, 1003, Created, block, 1
No of blocks in node 1003 is 3
48, 1003, broadcasting, data, 1
48, 1002,Appended, Transaction, 2311
48, 1002, broadcasting, data, 2311
49,1001,received,transaction,2310 
49, 1001, broadcasting, data, 2310
Simulation ended
