0,1000, generated, node, -
0,1003, generated, node, -
0,1001, generated, node, -
0,1004, generated, node, -
0,1002, generated, node, -
0, 1000,Appended, Transaction, 2301
0, 1000, broadcasting, data, 2301
2,1003,received,transaction,2301 
2, 1003, broadcasting, data, 2301
3,1004,received,transaction,2301 
3, 1004, broadcasting, data, 2301
3,1002,received,transaction,2301 
3, 1002, broadcasting, data, 2301
3,1001,received,transaction,2301 
3, 1001, broadcasting, data, 2301
5, 1000,Appended, Transaction, 2302
5, 1000, broadcasting, data, 2302
7,1003,received,transaction,2302 
7, 1003, broadcasting, data, 2302
8,1004,received,transaction,2302 
8, 1004, broadcasting, data, 2302
8,1002,received,transaction,2302 
8, 1002, broadcasting, data, 2302
8,1001,received,transaction,2302 
8, 1001, broadcasting, data, 2302
10, 1004,Appended, Transaction, 2303
10, 1004, broadcasting, data, 2303
13,1000,received,transaction,2303 
13, 1000, broadcasting, data, 2303
13,1003,received,transaction,2303 
13, 1003, broadcasting, data, 2303
14,1001,received,transaction,2303 
14, 1001, broadcasting, data, 2303
15, 1001,Appended, Transaction, 2304
15, 1001, broadcasting, data, 2304
16, 1001, Created, block, 99901
No of blocks in node 1001 is 1
16, 1001, broadcasting, data, 99901
16,1003,received,transaction,2304 
16, 1003, broadcasting, data, 2304
16,1002,received,transaction,2303 
16, 1002, broadcasting, data, 2303
17, 1003, Created, block, 99902
No of blocks in node 1003 is 1
17, 1003, broadcasting, data, 99902
17, 1003, broadcasting, data, 99901
17,1003, received, block, 99901
17,1003, interrupted, block, 99901 
18, 1001, broadcasting, data, 99902
18,1001, received, block, 99902
18,1001, interrupted, block, 99902 
18,1000,received,transaction,2304 
18, 1000, broadcasting, data, 2304
19, 1000, broadcasting, data, 99902
19,1000, received, block, 99902
19,1000, interrupted, block, 99902 
No of blocks in node 1000 is 1
19, 1000, broadcasting, data, 99901
19,1000, received, block, 99901
19,1000, interrupted, block, 99901 
No of blocks in node 1000 is 2
19,1004,received,transaction,2304 
19, 1004, broadcasting, data, 2304
20, 1004, broadcasting, data, 99901
20,1004, received, block, 99901
20,1004, interrupted, block, 99901 
No of blocks in node 1004 is 1
20, 1004, broadcasting, data, 99902
20,1004, received, block, 99902
20,1004, interrupted, block, 99902 
No of blocks in node 1004 is 2
20, 1002,Appended, Transaction, 2305
20, 1002, broadcasting, data, 2305
20,1002,received,transaction,2304 
20, 1002, broadcasting, data, 2304
21, 1002, broadcasting, data, 99901
21,1002, received, block, 99901
21,1002, interrupted, block, 99901 
No of blocks in node 1002 is 1
22, 1002, broadcasting, data, 99902
22,1002, received, block, 99902
22,1002, interrupted, block, 99902 
No of blocks in node 1002 is 2
23,1000,received,transaction,2305 
23, 1000, broadcasting, data, 2305
24, 1000,Appended, Transaction, 2306
24, 1000, broadcasting, data, 2306
25,1001,received,transaction,2305 
25, 1001, broadcasting, data, 2305
25,1003,received,transaction,2305 
25, 1003, broadcasting, data, 2305
26,1004,received,transaction,2305 
26, 1004, broadcasting, data, 2305
26,1003,received,transaction,2306 
26, 1003, broadcasting, data, 2306
27,1004,received,transaction,2306 
27, 1004, broadcasting, data, 2306
27,1002,received,transaction,2306 
27, 1002, broadcasting, data, 2306
27,1001,received,transaction,2306 
27, 1001, broadcasting, data, 2306
29, 1000,Appended, Transaction, 2307
29, 1000, broadcasting, data, 2307
31,1003,received,transaction,2307 
31, 1003, broadcasting, data, 2307
32, 1003, Created, block, 99903
No of blocks in node 1003 is 2
32, 1003, broadcasting, data, 99903
32,1004,received,transaction,2307 
32, 1004, broadcasting, data, 2307
32,1002,received,transaction,2307 
32, 1002, broadcasting, data, 2307
32,1001,received,transaction,2307 
32, 1001, broadcasting, data, 2307
33, 1001, Created, block, 99904
No of blocks in node 1001 is 2
33, 1001, broadcasting, data, 99904
33, 1001, broadcasting, data, 99903
33,1001, received, block, 99903
33,1001, interrupted, block, 99903 
34, 1000, broadcasting, data, 99903
34,1000, received, block, 99903
34,1000, interrupted, block, 99903 
34, 1003, broadcasting, data, 99904
34,1003, received, block, 99904
34,1003, interrupted, block, 99904 
