INFO:root:-----------------------------------Start of the new Session at Mon Oct  8 14:28:35 2018-------------------------------
DEBUG:root:71,1003, received, block, 99905
DEBUG:root:71,1003, interrupted, block, 99905 
INFO:root:No of blocks in node 1003 is 5
DEBUG:root:71, 1001, broadcasting, data, 99905
DEBUG:root:71,1001, received, block, 99905
DEBUG:root:71,1001, interrupted, block, 99905 
INFO:root:No of blocks in node 1001 is 5
DEBUG:root:71, 1000, broadcasting, data, 99906
DEBUG:root:71,1000, received, block, 99906
DEBUG:root:71,1000, interrupted, block, 99906 
INFO:root:No of blocks in node 1000 is 6
DEBUG:root:71, 1001, broadcasting, data, 99904
DEBUG:root:71,1001, received, block, 99904
DEBUG:root:71,1001, interrupted, block, 99904 
INFO:root:No of blocks in node 1001 is 6
DEBUG:root:71, 1003, broadcasting, data, 99906
DEBUG:root:71,1003, received, block, 99906
DEBUG:root:71,1003, interrupted, block, 99906 
INFO:root:No of blocks in node 1003 is 6
DEBUG:root:73, 1002, broadcasting, data, 99905
DEBUG:root:73,1002, received, block, 99905
DEBUG:root:73,1002, interrupted, block, 99905 
INFO:root:No of blocks in node 1002 is 5
DEBUG:root:73, 1002, broadcasting, data, 99906
DEBUG:root:73,1002, received, block, 99906
DEBUG:root:73,1002, interrupted, block, 99906 
INFO:root:No of blocks in node 1002 is 6
DEBUG:root:78, 1002,Appended, Transaction, 2309
DEBUG:root:78, 1002, broadcasting, data, 2309
DEBUG:root:80,1003,received,transaction,2309 
DEBUG:root:80, 1003, broadcasting, data, 2309
DEBUG:root:80,1000,received,transaction,2309 
DEBUG:root:80, 1000, broadcasting, data, 2309
DEBUG:root:80,1001,received,transaction,2309 
DEBUG:root:80, 1001, broadcasting, data, 2309
DEBUG:root:88, 1003,Appended, Transaction, 2310
DEBUG:root:88, 1003, broadcasting, data, 2310
DEBUG:root:88,1000,received,transaction,2310 
DEBUG:root:88, 1000, broadcasting, data, 2310
DEBUG:root:88,1001,received,transaction,2310 
DEBUG:root:88, 1001, broadcasting, data, 2310
DEBUG:root:90,1002,received,transaction,2310 
DEBUG:root:90, 1002, broadcasting, data, 2310
DEBUG:root:99, 1000,Appended, Transaction, 2311
DEBUG:root:99, 1000, broadcasting, data, 2311
DEBUG:root:99,1003,received,transaction,2311 
DEBUG:root:99, 1003, broadcasting, data, 2311
DEBUG:root:99,1001,received,transaction,2311 
DEBUG:root:99, 1001, broadcasting, data, 2311
DEBUG:root:101,1002,received,transaction,2311 
DEBUG:root:101, 1002, broadcasting, data, 2311
DEBUG:root:108, 1002,Appended, Transaction, 2312
DEBUG:root:108, 1002, broadcasting, data, 2312
DEBUG:root:109, 1002, Created, block, 99907
INFO:root:No of blocks in node 1002 is 7
DEBUG:root:109, 1002, broadcasting, data, 99907
DEBUG:root:110,1003,received,transaction,2312 
DEBUG:root:110, 1003, broadcasting, data, 2312
DEBUG:root:110,1000,received,transaction,2312 
DEBUG:root:110, 1000, broadcasting, data, 2312
DEBUG:root:110,1001,received,transaction,2312 
DEBUG:root:110, 1001, broadcasting, data, 2312
DEBUG:root:111, 1003, broadcasting, data, 99907
DEBUG:root:111,1003, received, block, 99907
DEBUG:root:111,1003, interrupted, block, 99907 
INFO:root:No of blocks in node 1003 is 7
DEBUG:root:111, 1000, Created, block, 99908
INFO:root:No of blocks in node 1000 is 7
DEBUG:root:111, 1000, broadcasting, data, 99908
DEBUG:root:111, 1001, Created, block, 99909
INFO:root:No of blocks in node 1001 is 7
DEBUG:root:111, 1001, broadcasting, data, 99909
DEBUG:root:111, 1000, broadcasting, data, 99907
DEBUG:root:111,1000, received, block, 99907
DEBUG:root:111,1000, interrupted, block, 99907 
INFO:root:No of blocks in node 1000 is 8
DEBUG:root:111, 1003, broadcasting, data, 99908
DEBUG:root:111,1003, received, block, 99908
DEBUG:root:111,1003, interrupted, block, 99908 
INFO:root:No of blocks in node 1003 is 8
DEBUG:root:111, 1001, broadcasting, data, 99908
DEBUG:root:111,1001, received, block, 99908
DEBUG:root:111,1001, interrupted, block, 99908 
INFO:root:No of blocks in node 1001 is 8
DEBUG:root:111, 1000, broadcasting, data, 99909
DEBUG:root:111,1000, received, block, 99909
DEBUG:root:111,1000, interrupted, block, 99909 
INFO:root:No of blocks in node 1000 is 9
DEBUG:root:111, 1001, broadcasting, data, 99907
DEBUG:root:111,1001, received, block, 99907
DEBUG:root:111,1001, interrupted, block, 99907 
INFO:root:No of blocks in node 1001 is 9
DEBUG:root:111, 1003, broadcasting, data, 99909
DEBUG:root:111,1003, received, block, 99909
DEBUG:root:111,1003, interrupted, block, 99909 
INFO:root:No of blocks in node 1003 is 9
DEBUG:root:113, 1002, broadcasting, data, 99908
DEBUG:root:113,1002, received, block, 99908
DEBUG:root:113,1002, interrupted, block, 99908 
