Time,Node,Block
23,1000,99901
24,1004,99901
25.0,1001,99901
25,1003,99901
26,1002,99901
42,1002,99902
46.0,1003,99902
48.0,1001,99902
48,1000,99902
49.0,1004,99902
70,1002,99903
71,1000,99903
74.0,1001,99903
74.0,1003,99903
74.0,1004,99903
88,1002,99904
91,1000,99904
92.0,1003,99904
94.0,1001,99904
96.0,1004,99904
