0,1000, generated, node, -
0,1002, generated, node, -
0,1001, generated, node, -
0, 1000,Appended, Transaction, 2301
0, 1000, broadcasting, data, 2301
2,1002,received,transaction,2301 
2, 1002, broadcasting, data, 2301
4,1001,received,transaction,2301 
4, 1001, broadcasting, data, 2301
5, 1000,Appended, Transaction, 2302
5, 1000, broadcasting, data, 2302
7,1002,received,transaction,2302 
7, 1002, broadcasting, data, 2302
9,1001,received,transaction,2302 
9, 1001, broadcasting, data, 2302
10, 1001,Appended, Transaction, 2303
10, 1001, broadcasting, data, 2303
12,1002,received,transaction,2303 
12, 1002, broadcasting, data, 2303
14,1000,received,transaction,2303 
14, 1000, broadcasting, data, 2303
15, 1002,Appended, Transaction, 2304
15, 1002, broadcasting, data, 2304
16, 1002, Created, block, 99901
No of blocks in node 1002 is 1
16, 1002, broadcasting, data, 99901
17,1000,received,transaction,2304 
17, 1000, broadcasting, data, 2304
17,1001,received,transaction,2304 
17, 1001, broadcasting, data, 2304
18, 1000, broadcasting, data, 99901
18,1000, received, block, 99901
18,1000, interrupted, block, 99901 
No of blocks in node 1000 is 1
18, 1001, broadcasting, data, 99901
18,1001, received, block, 99901
18,1001, interrupted, block, 99901 
No of blocks in node 1001 is 1
20, 1002,Appended, Transaction, 2305
20, 1002, broadcasting, data, 2305
22,1000,received,transaction,2305 
22, 1000, broadcasting, data, 2305
22,1001,received,transaction,2305 
22, 1001, broadcasting, data, 2305
26, 1000,Appended, Transaction, 2306
26, 1000, broadcasting, data, 2306
28,1002,received,transaction,2306 
28, 1002, broadcasting, data, 2306
30,1001,received,transaction,2306 
30, 1001, broadcasting, data, 2306
30, 1000,Appended, Transaction, 2307
30, 1000, broadcasting, data, 2307
32,1002,received,transaction,2307 
32, 1002, broadcasting, data, 2307
33, 1002, Created, block, 99902
No of blocks in node 1002 is 2
33, 1002, broadcasting, data, 99902
34,1001,received,transaction,2307 
34, 1001, broadcasting, data, 2307
34, 1001,Appended, Transaction, 2308
34, 1001, broadcasting, data, 2308
35, 1000, broadcasting, data, 99902
35,1000, received, block, 99902
35,1000, interrupted, block, 99902 
No of blocks in node 1000 is 2
35, 1001, broadcasting, data, 99902
35,1001, received, block, 99902
35,1001, interrupted, block, 99902 
No of blocks in node 1001 is 2
36,1002,received,transaction,2308 
36, 1002, broadcasting, data, 2308
38,1000,received,transaction,2308 
38, 1000, broadcasting, data, 2308
40, 1001,Appended, Transaction, 2309
40, 1001, broadcasting, data, 2309
42,1002,received,transaction,2309 
42, 1002, broadcasting, data, 2309
44,1000,received,transaction,2309 
44, 1000, broadcasting, data, 2309
45, 1000,Appended, Transaction, 2310
45, 1000, broadcasting, data, 2310
47,1002,received,transaction,2310 
47, 1002, broadcasting, data, 2310
48, 1002, Created, block, 99903
No of blocks in node 1002 is 3
48, 1002, broadcasting, data, 99903
49,1001,received,transaction,2310 
49, 1001, broadcasting, data, 2310
50, 1000, broadcasting, data, 99903
50,1000, received, block, 99903
50,1000, interrupted, block, 99903 
No of blocks in node 1000 is 3
50, 1001, broadcasting, data, 99903
50,1001, received, block, 99903
50,1001, interrupted, block, 99903 
No of blocks in node 1001 is 3
50, 1001,Appended, Transaction, 2311
50, 1001, broadcasting, data, 2311
52,1002,received,transaction,2311 
52, 1002, broadcasting, data, 2311
54,1000,received,transaction,2311 
54, 1000, broadcasting, data, 2311
55, 1002,Appended, Transaction, 2312
55, 1002, broadcasting, data, 2312
57,1000,received,transaction,2312 
57, 1000, broadcasting, data, 2312
57,1001,received,transaction,2312 
57, 1001, broadcasting, data, 2312
60, 1002,Appended, Transaction, 2313
60, 1002, broadcasting, data, 2313
61, 1002, Created, block, 99904
No of blocks in node 1002 is 4
61, 1002, broadcasting, data, 99904
62,1000,received,transaction,2313 
62, 1000, broadcasting, data, 2313
62,1001,received,transaction,2313 
62, 1001, broadcasting, data, 2313
63, 1000, broadcasting, data, 99904
63,1000, received, block, 99904
63,1000, interrupted, block, 99904 
No of blocks in node 1000 is 4
63, 1001, broadcasting, data, 99904
63,1001, received, block, 99904
63,1001, interrupted, block, 99904 
No of blocks in node 1001 is 4
64, 1000,Appended, Transaction, 2314
64, 1000, broadcasting, data, 2314
66,1002,received,transaction,2314 
66, 1002, broadcasting, data, 2314
68,1001,received,transaction,2314 
68, 1001, broadcasting, data, 2314
70, 1001,Appended, Transaction, 2315
70, 1001, broadcasting, data, 2315
72,1002,received,transaction,2315 
72, 1002, broadcasting, data, 2315
73, 1002, Created, block, 99905
No of blocks in node 1002 is 5
73, 1002, broadcasting, data, 99905
74,1000,received,transaction,2315 
74, 1000, broadcasting, data, 2315
75, 1000, broadcasting, data, 99905
75,1000, received, block, 99905
75,1000, interrupted, block, 99905 
No of blocks in node 1000 is 5
75, 1001, broadcasting, data, 99905
75,1001, received, block, 99905
75,1001, interrupted, block, 99905 
No of blocks in node 1001 is 5
76, 1000,Appended, Transaction, 2316
76, 1000, broadcasting, data, 2316
78,1002,received,transaction,2316 
78, 1002, broadcasting, data, 2316
80,1001,received,transaction,2316 
80, 1001, broadcasting, data, 2316
82, 1002,Appended, Transaction, 2317
82, 1002, broadcasting, data, 2317
84,1000,received,transaction,2317 
84, 1000, broadcasting, data, 2317
84,1001,received,transaction,2317 
84, 1001, broadcasting, data, 2317
87, 1002,Appended, Transaction, 2318
87, 1002, broadcasting, data, 2318
88, 1002, Created, block, 99906
No of blocks in node 1002 is 6
88, 1002, broadcasting, data, 99906
89,1000,received,transaction,2318 
89, 1000, broadcasting, data, 2318
89,1001,received,transaction,2318 
89, 1001, broadcasting, data, 2318
90, 1000, broadcasting, data, 99906
90,1000, received, block, 99906
90,1000, interrupted, block, 99906 
No of blocks in node 1000 is 6
90, 1001, broadcasting, data, 99906
90,1001, received, block, 99906
90,1001, interrupted, block, 99906 
No of blocks in node 1001 is 6
92, 1000,Appended, Transaction, 2319
92, 1000, broadcasting, data, 2319
94,1002,received,transaction,2319 
94, 1002, broadcasting, data, 2319
96,1001,received,transaction,2319 
96, 1001, broadcasting, data, 2319
97, 1001,Appended, Transaction, 2320
97, 1001, broadcasting, data, 2320
99,1002,received,transaction,2320 
99, 1002, broadcasting, data, 2320
101,1000,received,transaction,2320 
101, 1000, broadcasting, data, 2320
102, 1001,Appended, Transaction, 2321
102, 1001, broadcasting, data, 2321
103, 1001, Created, block, 99907
No of blocks in node 1001 is 7
103, 1001, broadcasting, data, 99907
104,1002,received,transaction,2321 
104, 1002, broadcasting, data, 2321
105, 1002, broadcasting, data, 99907
105,1002, received, block, 99907
105,1002, interrupted, block, 99907 
No of blocks in node 1002 is 7
106,1000,received,transaction,2321 
106, 1000, broadcasting, data, 2321
107, 1000, broadcasting, data, 99907
107,1000, received, block, 99907
107,1000, interrupted, block, 99907 
No of blocks in node 1000 is 7
107, 1002,Appended, Transaction, 2322
107, 1002, broadcasting, data, 2322
109,1000,received,transaction,2322 
109, 1000, broadcasting, data, 2322
109,1001,received,transaction,2322 
109, 1001, broadcasting, data, 2322
111, 1002,Appended, Transaction, 2323
111, 1002, broadcasting, data, 2323
113,1000,received,transaction,2323 
113, 1000, broadcasting, data, 2323
113,1001,received,transaction,2323 
113, 1001, broadcasting, data, 2323
116, 1002,Appended, Transaction, 2324
116, 1002, broadcasting, data, 2324
118,1000,received,transaction,2324 
118, 1000, broadcasting, data, 2324
118,1001,received,transaction,2324 
118, 1001, broadcasting, data, 2324
119, 1001, Created, block, 99908
No of blocks in node 1001 is 8
119, 1001, broadcasting, data, 99908
120, 1002,Appended, Transaction, 2325
120, 1002, broadcasting, data, 2325
121, 1002, broadcasting, data, 99908
121,1002, received, block, 99908
121,1002, interrupted, block, 99908 
No of blocks in node 1002 is 8
122,1000,received,transaction,2325 
122, 1000, broadcasting, data, 2325
122,1001,received,transaction,2325 
122, 1001, broadcasting, data, 2325
123, 1000, broadcasting, data, 99908
123,1000, received, block, 99908
123,1000, interrupted, block, 99908 
No of blocks in node 1000 is 8
125, 1002,Appended, Transaction, 2326
125, 1002, broadcasting, data, 2326
127,1000,received,transaction,2326 
127, 1000, broadcasting, data, 2326
127,1001,received,transaction,2326 
127, 1001, broadcasting, data, 2326
130, 1002,Appended, Transaction, 2327
130, 1002, broadcasting, data, 2327
132,1000,received,transaction,2327 
132, 1000, broadcasting, data, 2327
132,1001,received,transaction,2327 
132, 1001, broadcasting, data, 2327
133, 1001, Created, block, 99909
No of blocks in node 1001 is 9
133, 1001, broadcasting, data, 99909
135, 1002, broadcasting, data, 99909
135,1002, received, block, 99909
135,1002, interrupted, block, 99909 
No of blocks in node 1002 is 9
135, 1001,Appended, Transaction, 2328
135, 1001, broadcasting, data, 2328
137, 1000, broadcasting, data, 99909
137,1000, received, block, 99909
137,1000, interrupted, block, 99909 
No of blocks in node 1000 is 9
137,1002,received,transaction,2328 
137, 1002, broadcasting, data, 2328
139,1000,received,transaction,2328 
139, 1000, broadcasting, data, 2328
