0,1001, generated, node, -
0,1002, generated, node, -
0,1003, generated, node, -
0,1004, generated, node, -
0,1000, generated, node, -
0, 1002,Appended, Transaction, 2301
0, 1002, broadcasting, data, 2301
1,1001,received,transaction,2301 
1, 1001, broadcasting, data, 2301
1,1000,received,transaction,2301 
1, 1000, broadcasting, data, 2301
2,1004,received,transaction,2301 
2, 1004, broadcasting, data, 2301
3,1003,received,transaction,2301 
3, 1003, broadcasting, data, 2301
4, 1002,Appended, Transaction, 2302
4, 1002, broadcasting, data, 2302
5,1001,received,transaction,2302 
5, 1001, broadcasting, data, 2302
5,1000,received,transaction,2302 
5, 1000, broadcasting, data, 2302
6,1004,received,transaction,2302 
6, 1004, broadcasting, data, 2302
7,1003,received,transaction,2302 
7, 1003, broadcasting, data, 2302
Simulation ended
