0,1004, generated, node, -
0,1003, generated, node, -
0,1000, generated, node, -
0,1002, generated, node, -
0,1001, generated, node, -
0, 1001,Appended, Transaction, 2301
0, 1001, broadcasting, data, 2301
2,1002,received,transaction,2301 
2, 1002, broadcasting, data, 2301
3,1000,received,transaction,2301 
3, 1000, broadcasting, data, 2301
4,1004,received,transaction,2301 
4, 1004, broadcasting, data, 2301
4,1003,received,transaction,2301 
4, 1003, broadcasting, data, 2301
4, 1004,Appended, Transaction, 2302
4, 1004, broadcasting, data, 2302
6,1003,received,transaction,2302 
6, 1003, broadcasting, data, 2302
8,1001,received,transaction,2302 
8, 1001, broadcasting, data, 2302
9,1000,received,transaction,2302 
9, 1000, broadcasting, data, 2302
9, 1004,Appended, Transaction, 2303
9, 1004, broadcasting, data, 2303
10, 1004, Created, block, 99901
No of blocks in node 1004 is 1
10, 1004, broadcasting, data, 99901
10,1002,received,transaction,2302 
10, 1002, broadcasting, data, 2302
11,1003,received,transaction,2303 
11, 1003, broadcasting, data, 2303
12, 1003, broadcasting, data, 99901
12,1003, received, block, 99901
12,1003, interrupted, block, 99901 
No of blocks in node 1003 is 1
13,1001,received,transaction,2303 
13, 1001, broadcasting, data, 2303
14, 1001, broadcasting, data, 99901
14,1001, received, block, 99901
14,1001, interrupted, block, 99901 
No of blocks in node 1001 is 1
14,1000,received,transaction,2303 
14, 1000, broadcasting, data, 2303
15, 1000, broadcasting, data, 99901
15,1000, received, block, 99901
15,1000, interrupted, block, 99901 
No of blocks in node 1000 is 1
15, 1002,Appended, Transaction, 2304
15, 1002, broadcasting, data, 2304
15,1002,received,transaction,2303 
15, 1002, broadcasting, data, 2303
16, 1002, broadcasting, data, 99901
16,1002, received, block, 99901
16,1002, interrupted, block, 99901 
No of blocks in node 1002 is 1
16,1000,received,transaction,2304 
16, 1000, broadcasting, data, 2304
17,1001,received,transaction,2304 
17, 1001, broadcasting, data, 2304
20, 1004,Appended, Transaction, 2305
20, 1004, broadcasting, data, 2305
21,1004,received,transaction,2304 
21, 1004, broadcasting, data, 2304
21,1003,received,transaction,2304 
21, 1003, broadcasting, data, 2304
22, 1004, Created, block, 99902
No of blocks in node 1004 is 2
22, 1004, broadcasting, data, 99902
22,1003,received,transaction,2305 
22, 1003, broadcasting, data, 2305
23, 1003, Created, block, 99901
No of blocks in node 1003 is 2
23, 1003, broadcasting, data, 99901
24, 1003, broadcasting, data, 99902
24,1003, received, block, 99902
24,1003, interrupted, block, 99902 
24,1001,received,transaction,2305 
24, 1001, broadcasting, data, 2305
24, 1002,Appended, Transaction, 2306
24, 1002, broadcasting, data, 2306
25, 1001, Created, block, 99901
No of blocks in node 1001 is 2
25, 1001, broadcasting, data, 99901
25,1000,received,transaction,2305 
25, 1000, broadcasting, data, 2305
25,1000,received,transaction,2306 
25, 1000, broadcasting, data, 2306
26, 1001, broadcasting, data, 99902
26,1001, received, block, 99902
26,1001, interrupted, block, 99902 
26, 1000, Created, block, 99901
No of blocks in node 1000 is 2
26, 1000, broadcasting, data, 99901
26,1002,received,transaction,2305 
26, 1002, broadcasting, data, 2305
26,1001,received,transaction,2306 
26, 1001, broadcasting, data, 2306
27, 1000, broadcasting, data, 99902
27,1000, received, block, 99902
27,1000, interrupted, block, 99902 
27, 1002, Created, block, 99901
No of blocks in node 1002 is 2
27, 1002, broadcasting, data, 99901
28, 1002, broadcasting, data, 99902
28,1002, received, block, 99902
28,1002, interrupted, block, 99902 
29, 1003,Appended, Transaction, 2307
29, 1003, broadcasting, data, 2307
30,1004,received,transaction,2306 
30, 1004, broadcasting, data, 2306
30,1003,received,transaction,2306 
30, 1003, broadcasting, data, 2306
31,1004,received,transaction,2307 
31, 1004, broadcasting, data, 2307
33,1001,received,transaction,2307 
33, 1001, broadcasting, data, 2307
34,1000,received,transaction,2307 
34, 1000, broadcasting, data, 2307
35, 1000,Appended, Transaction, 2308
35, 1000, broadcasting, data, 2308
35,1002,received,transaction,2307 
35, 1002, broadcasting, data, 2307
36,1002,received,transaction,2308 
36, 1002, broadcasting, data, 2308
38,1001,received,transaction,2308 
38, 1001, broadcasting, data, 2308
39, 1001, Created, block, 99902
No of blocks in node 1001 is 3
39, 1001, broadcasting, data, 99902
40,1004,received,transaction,2308 
40, 1004, broadcasting, data, 2308
40,1003,received,transaction,2308 
40, 1003, broadcasting, data, 2308
40, 1001,Appended, Transaction, 2309
40, 1001, broadcasting, data, 2309
41, 1003, Created, block, 99902
No of blocks in node 1003 is 3
41, 1003, broadcasting, data, 99902
42,1002,received,transaction,2309 
42, 1002, broadcasting, data, 2309
43, 1002, Created, block, 99902
No of blocks in node 1002 is 3
43, 1002, broadcasting, data, 99902
43,1000,received,transaction,2309 
43, 1000, broadcasting, data, 2309
44, 1000, Created, block, 99902
No of blocks in node 1000 is 3
44, 1000, broadcasting, data, 99902
44,1004,received,transaction,2309 
44, 1004, broadcasting, data, 2309
44,1003,received,transaction,2309 
44, 1003, broadcasting, data, 2309
45, 1004, Created, block, 99903
No of blocks in node 1004 is 3
45, 1004, broadcasting, data, 99903
45, 1002,Appended, Transaction, 2310
45, 1002, broadcasting, data, 2310
46,1000,received,transaction,2310 
46, 1000, broadcasting, data, 2310
47, 1003, broadcasting, data, 99903
47,1003, received, block, 99903
47,1003, interrupted, block, 99903 
47,1001,received,transaction,2310 
47, 1001, broadcasting, data, 2310
49, 1001, broadcasting, data, 99903
49,1001, received, block, 99903
49,1001, interrupted, block, 99903 
Simulation ended
