Time,message_count
1,3
2,5
3,7
4,7
5,8
6,7
7,6
8,7
9,7
10,11
11,10
12,13
13,14
14,16
15,11
16,7
17,7
18,9
19,7
20,11
21,10
22,11
23,10
24,12
25,17
26,15
27,15
