0,1004, generated, node, -
0,1000, generated, node, -
0,1001, generated, node, -
0,1003, generated, node, -
0,1002, generated, node, -
0, 1003,Appended, Transaction, 2301
0, 1003, broadcasting, data, 2301
2,1004,received,transaction,2301 
2, 1004, broadcasting, data, 2301
2,1000,received,transaction,2301 
2, 1000, broadcasting, data, 2301
3,1002,received,transaction,2301 
3, 1002, broadcasting, data, 2301
4,1001,received,transaction,2301 
4, 1001, broadcasting, data, 2301
4, 1003,Appended, Transaction, 2302
4, 1003, broadcasting, data, 2302
6,1004,received,transaction,2302 
6, 1004, broadcasting, data, 2302
6,1000,received,transaction,2302 
6, 1000, broadcasting, data, 2302
7,1002,received,transaction,2302 
7, 1002, broadcasting, data, 2302
8,1001,received,transaction,2302 
8, 1001, broadcasting, data, 2302
9, 1004,Appended, Transaction, 2303
9, 1004, broadcasting, data, 2303
10, 1004, Created, block, 99901
No of blocks in node 1004 is 1
10, 1004, broadcasting, data, 99901
11,1003,received,transaction,2303 
11, 1003, broadcasting, data, 2303
11,1002,received,transaction,2303 
11, 1002, broadcasting, data, 2303
12, 1003, broadcasting, data, 99901
12,1003, received, block, 99901
12,1003, interrupted, block, 99901 
No of blocks in node 1003 is 1
12, 1002, broadcasting, data, 99901
12,1002, received, block, 99901
12,1002, interrupted, block, 99901 
No of blocks in node 1002 is 1
12,1001,received,transaction,2303 
12, 1001, broadcasting, data, 2303
13, 1001, broadcasting, data, 99901
13,1001, received, block, 99901
13,1001, interrupted, block, 99901 
No of blocks in node 1001 is 1
13,1000,received,transaction,2303 
13, 1000, broadcasting, data, 2303
14, 1000, broadcasting, data, 99901
14,1000, received, block, 99901
14,1000, interrupted, block, 99901 
No of blocks in node 1000 is 1
14, 1003,Appended, Transaction, 2304
14, 1003, broadcasting, data, 2304
16,1004,received,transaction,2304 
16, 1004, broadcasting, data, 2304
16,1000,received,transaction,2304 
16, 1000, broadcasting, data, 2304
17,1002,received,transaction,2304 
17, 1002, broadcasting, data, 2304
18,1001,received,transaction,2304 
18, 1001, broadcasting, data, 2304
19, 1000,Appended, Transaction, 2305
19, 1000, broadcasting, data, 2305
20, 1000, Created, block, 99902
No of blocks in node 1000 is 2
20, 1000, broadcasting, data, 99902
21,1001,received,transaction,2305 
21, 1001, broadcasting, data, 2305
21,1003,received,transaction,2305 
21, 1003, broadcasting, data, 2305
22, 1001, broadcasting, data, 99902
22,1001, received, block, 99902
22,1001, interrupted, block, 99902 
No of blocks in node 1001 is 2
22, 1003, broadcasting, data, 99902
22,1003, received, block, 99902
22,1003, interrupted, block, 99902 
No of blocks in node 1003 is 2
23,1004,received,transaction,2305 
23, 1004, broadcasting, data, 2305
24, 1004, broadcasting, data, 99902
24,1004, received, block, 99902
24,1004, interrupted, block, 99902 
24, 1002,Appended, Transaction, 2306
24, 1002, broadcasting, data, 2306
24,1002,received,transaction,2305 
24, 1002, broadcasting, data, 2305
25, 1002, broadcasting, data, 99902
25,1002, received, block, 99902
25,1002, interrupted, block, 99902 
No of blocks in node 1002 is 2
25, 1004, Created, block, 99903
No of blocks in node 1004 is 2
25, 1004, broadcasting, data, 99903
26,1004,received,transaction,2306 
26, 1004, broadcasting, data, 2306
27, 1003, broadcasting, data, 99903
27,1003, received, block, 99903
27,1003, interrupted, block, 99903 
27, 1002, broadcasting, data, 99903
27,1002, received, block, 99903
27,1002, interrupted, block, 99903 
