0,1004, generated, node, -
0,1003, generated, node, -
0,1001, generated, node, -
0,1002, generated, node, -
0,1000, generated, node, -
0, 1000,Appended, Transaction, 2301
0, 1000, broadcasting, data, 2301
1, 1004,Appended, Transaction, 2302
1, 1004, broadcasting, data, 2302
2,1004,received,transaction,2301 
2, 1004, broadcasting, data, 2301
2, 1001,Appended, Transaction, 2303
2, 1001, broadcasting, data, 2303
3,1002,received,transaction,2301 
3, 1002, broadcasting, data, 2301
3, 1002,Appended, Transaction, 2304
3, 1002, broadcasting, data, 2304
3,1000,received,transaction,2302 
3, 1000, broadcasting, data, 2302
4, 1001,Appended, Transaction, 2305
4, 1001, broadcasting, data, 2305
4,1003,received,transaction,2302 
4, 1003, broadcasting, data, 2302
4,1001,received,transaction,2302 
4, 1001, broadcasting, data, 2302
4, 1003,Appended, Transaction, 2306
4, 1003, broadcasting, data, 2306
5,1003,received,transaction,2301 
5, 1003, broadcasting, data, 2301
5,1001,received,transaction,2301 
5, 1001, broadcasting, data, 2301
5,1004,received,transaction,2303 
5, 1004, broadcasting, data, 2303
6, 1001,Appended, Transaction, 2307
6, 1001, broadcasting, data, 2307
6,1000,received,transaction,2304 
6, 1000, broadcasting, data, 2304
6,1002,received,transaction,2303 
6, 1002, broadcasting, data, 2303
6,1002,received,transaction,2302 
6, 1002, broadcasting, data, 2302
6, 1002,Appended, Transaction, 2308
6, 1002, broadcasting, data, 2308
7,1001,received,transaction,2304 
7, 1001, broadcasting, data, 2304
7,1004,received,transaction,2305 
7, 1004, broadcasting, data, 2305
7,1003,received,transaction,2303 
7, 1003, broadcasting, data, 2303
7,1000,received,transaction,2303 
7, 1000, broadcasting, data, 2303
7,1004,received,transaction,2306 
7, 1004, broadcasting, data, 2306
8, 1003,Appended, Transaction, 2309
8, 1003, broadcasting, data, 2309
8,1004,received,transaction,2304 
8, 1004, broadcasting, data, 2304
8,1002,received,transaction,2305 
8, 1002, broadcasting, data, 2305
8, 1001,Appended, Transaction, 2310
8, 1001, broadcasting, data, 2310
9,1004,received,transaction,2307 
9, 1004, broadcasting, data, 2307
9,1003,received,transaction,2305 
9, 1003, broadcasting, data, 2305
9,1000,received,transaction,2305 
9, 1000, broadcasting, data, 2305
9, 1004,Appended, Transaction, 2311
9, 1004, broadcasting, data, 2311
9,1000,received,transaction,2308 
9, 1000, broadcasting, data, 2308
9,1001,received,transaction,2306 
9, 1001, broadcasting, data, 2306
9,1000,received,transaction,2306 
9, 1000, broadcasting, data, 2306
10,1002,received,transaction,2307 
10, 1002, broadcasting, data, 2307
10,1001,received,transaction,2308 
