0,1004, generated, node, -
0,1000, generated, node, -
0,1003, generated, node, -
0,1001, generated, node, -
0,1002, generated, node, -
0, 1001,Appended, Transaction, 2301
0, 1001, broadcasting, data, 2301
2,1002,received,transaction,2301 
2, 1002, broadcasting, data, 2301
3,1003,received,transaction,2301 
3, 1003, broadcasting, data, 2301
4,1004,received,transaction,2301 
4, 1004, broadcasting, data, 2301
5, 1002,Appended, Transaction, 2302
5, 1002, broadcasting, data, 2302
6,1000,received,transaction,2301 
6, 1000, broadcasting, data, 2301
7,1003,received,transaction,2302 
7, 1003, broadcasting, data, 2302
7,1001,received,transaction,2302 
7, 1001, broadcasting, data, 2302
8,1004,received,transaction,2302 
8, 1004, broadcasting, data, 2302
9,1000,received,transaction,2302 
9, 1000, broadcasting, data, 2302
9, 1001,Appended, Transaction, 2303
9, 1001, broadcasting, data, 2303
10, 1001, Created, block, 99901
No of blocks in node 1001 is 1
10, 1001, broadcasting, data, 99901
11,1002,received,transaction,2303 
11, 1002, broadcasting, data, 2303
12, 1002, broadcasting, data, 99901
12,1002, received, block, 99901
12,1002, interrupted, block, 99901 
No of blocks in node 1002 is 1
12,1003,received,transaction,2303 
12, 1003, broadcasting, data, 2303
13, 1003, broadcasting, data, 99901
13,1003, received, block, 99901
13,1003, interrupted, block, 99901 
No of blocks in node 1003 is 1
13,1004,received,transaction,2303 
13, 1004, broadcasting, data, 2303
14, 1004, broadcasting, data, 99901
14,1004, received, block, 99901
14,1004, interrupted, block, 99901 
No of blocks in node 1004 is 1
14, 1002,Appended, Transaction, 2304
14, 1002, broadcasting, data, 2304
15,1000,received,transaction,2303 
15, 1000, broadcasting, data, 2303
16, 1000, broadcasting, data, 99901
16,1000, received, block, 99901
16,1000, interrupted, block, 99901 
No of blocks in node 1000 is 1
16,1003,received,transaction,2304 
16, 1003, broadcasting, data, 2304
16,1001,received,transaction,2304 
16, 1001, broadcasting, data, 2304
17,1004,received,transaction,2304 
17, 1004, broadcasting, data, 2304
18,1000,received,transaction,2304 
18, 1000, broadcasting, data, 2304
18, 1004,Appended, Transaction, 2305
18, 1004, broadcasting, data, 2305
19,1003,received,transaction,2305 
19, 1003, broadcasting, data, 2305
20,1000,received,transaction,2305 
20, 1000, broadcasting, data, 2305
21,1002,received,transaction,2305 
21, 1002, broadcasting, data, 2305
22,1001,received,transaction,2305 
22, 1001, broadcasting, data, 2305
23, 1000,Appended, Transaction, 2306
23, 1000, broadcasting, data, 2306
24, 1000, Created, block, 99901
No of blocks in node 1000 is 2
24, 1000, broadcasting, data, 99901
25,1004,received,transaction,2306 
25, 1004, broadcasting, data, 2306
26, 1004, Created, block, 99901
No of blocks in node 1004 is 2
26, 1004, broadcasting, data, 99901
26,1003,received,transaction,2306 
26, 1003, broadcasting, data, 2306
27, 1003, Created, block, 99901
No of blocks in node 1003 is 2
27, 1003, broadcasting, data, 99901
27,1002,received,transaction,2306 
27, 1002, broadcasting, data, 2306
28, 1002, Created, block, 99901
No of blocks in node 1002 is 2
28, 1002, broadcasting, data, 99901
29, 1000,Appended, Transaction, 2307
29, 1000, broadcasting, data, 2307
29,1001,received,transaction,2306 
29, 1001, broadcasting, data, 2306
30, 1001, Created, block, 99902
No of blocks in node 1001 is 2
30, 1001, broadcasting, data, 99902
31,1004,received,transaction,2307 
31, 1004, broadcasting, data, 2307
32, 1002, broadcasting, data, 99902
32,1002, received, block, 99902
32,1002, interrupted, block, 99902 
32,1003,received,transaction,2307 
32, 1003, broadcasting, data, 2307
33, 1003, broadcasting, data, 99902
33,1003, received, block, 99902
33,1003, interrupted, block, 99902 
33,1002,received,transaction,2307 
33, 1002, broadcasting, data, 2307
34, 1004, broadcasting, data, 99902
34,1004, received, block, 99902
34,1004, interrupted, block, 99902 
34, 1003,Appended, Transaction, 2308
34, 1003, broadcasting, data, 2308
35,1004,received,transaction,2308 
35, 1004, broadcasting, data, 2308
35,1001,received,transaction,2307 
35, 1001, broadcasting, data, 2307
36, 1000, broadcasting, data, 99902
36,1000, received, block, 99902
36,1000, interrupted, block, 99902 
36,1002,received,transaction,2308 
36, 1002, broadcasting, data, 2308
37,1000,received,transaction,2308 
37, 1000, broadcasting, data, 2308
37,1001,received,transaction,2308 
37, 1001, broadcasting, data, 2308
38, 1003,Appended, Transaction, 2309
38, 1003, broadcasting, data, 2309
39, 1003, Created, block, 99902
No of blocks in node 1003 is 3
39, 1003, broadcasting, data, 99902
39,1004,received,transaction,2309 
39, 1004, broadcasting, data, 2309
40, 1004, Created, block, 99902
No of blocks in node 1004 is 3
40, 1004, broadcasting, data, 99902
40,1002,received,transaction,2309 
40, 1002, broadcasting, data, 2309
41, 1002, Created, block, 99902
No of blocks in node 1002 is 3
41, 1002, broadcasting, data, 99902
41,1000,received,transaction,2309 
41, 1000, broadcasting, data, 2309
41,1001,received,transaction,2309 
41, 1001, broadcasting, data, 2309
42, 1000, Created, block, 99902
No of blocks in node 1000 is 3
42, 1000, broadcasting, data, 99902
42, 1001, Created, block, 99903
No of blocks in node 1001 is 3
42, 1001, broadcasting, data, 99903
43, 1001,Appended, Transaction, 2310
43, 1001, broadcasting, data, 2310
44, 1002, broadcasting, data, 99903
44,1002, received, block, 99903
44,1002, interrupted, block, 99903 
45, 1003, broadcasting, data, 99903
45,1003, received, block, 99903
45,1003, interrupted, block, 99903 
45,1002,received,transaction,2310 
45, 1002, broadcasting, data, 2310
46, 1004, broadcasting, data, 99903
46,1004, received, block, 99903
46,1004, interrupted, block, 99903 
46,1003,received,transaction,2310 
46, 1003, broadcasting, data, 2310
47,1004,received,transaction,2310 
47, 1004, broadcasting, data, 2310
48, 1000, broadcasting, data, 99903
48,1000, received, block, 99903
48,1000, interrupted, block, 99903 
49, 1001,Appended, Transaction, 2311
49, 1001, broadcasting, data, 2311
49,1000,received,transaction,2310 
49, 1000, broadcasting, data, 2310
51,1002,received,transaction,2311 
51, 1002, broadcasting, data, 2311
52,1003,received,transaction,2311 
52, 1003, broadcasting, data, 2311
53,1004,received,transaction,2311 
53, 1004, broadcasting, data, 2311
55,1000,received,transaction,2311 
55, 1000, broadcasting, data, 2311
55, 1002,Appended, Transaction, 2312
55, 1002, broadcasting, data, 2312
56, 1002, Created, block, 99903
No of blocks in node 1002 is 4
56, 1002, broadcasting, data, 99903
57,1003,received,transaction,2312 
57, 1003, broadcasting, data, 2312
57,1001,received,transaction,2312 
57, 1001, broadcasting, data, 2312
58, 1003, Created, block, 99903
No of blocks in node 1003 is 4
58, 1003, broadcasting, data, 99903
58, 1001, Created, block, 99904
No of blocks in node 1001 is 4
58, 1001, broadcasting, data, 99904
58,1004,received,transaction,2312 
58, 1004, broadcasting, data, 2312
59, 1004, Created, block, 99903
No of blocks in node 1004 is 4
59, 1004, broadcasting, data, 99903
59,1000,received,transaction,2312 
59, 1000, broadcasting, data, 2312
60, 1002, broadcasting, data, 99904
60,1002, received, block, 99904
60,1002, interrupted, block, 99904 
60, 1000, Created, block, 99903
No of blocks in node 1000 is 4
60, 1000, broadcasting, data, 99903
60, 1001,Appended, Transaction, 2313
60, 1001, broadcasting, data, 2313
61, 1003, broadcasting, data, 99904
61,1003, received, block, 99904
61,1003, interrupted, block, 99904 
62, 1004, broadcasting, data, 99904
62,1004, received, block, 99904
62,1004, interrupted, block, 99904 
62,1002,received,transaction,2313 
62, 1002, broadcasting, data, 2313
63,1003,received,transaction,2313 
63, 1003, broadcasting, data, 2313
64, 1000, broadcasting, data, 99904
64,1000, received, block, 99904
64,1000, interrupted, block, 99904 
64,1004,received,transaction,2313 
64, 1004, broadcasting, data, 2313
66, 1004,Appended, Transaction, 2314
66, 1004, broadcasting, data, 2314
66,1000,received,transaction,2313 
66, 1000, broadcasting, data, 2313
67,1003,received,transaction,2314 
67, 1003, broadcasting, data, 2314
68,1000,received,transaction,2314 
68, 1000, broadcasting, data, 2314
69,1002,received,transaction,2314 
69, 1002, broadcasting, data, 2314
69, 1003,Appended, Transaction, 2315
69, 1003, broadcasting, data, 2315
70, 1003, Created, block, 99904
No of blocks in node 1003 is 5
70, 1003, broadcasting, data, 99904
