0,1004, generated, node, -
0,1002, generated, node, -
0,1001, generated, node, -
0,1003, generated, node, -
0,1000, generated, node, -
0, 1002,Appended, Transaction, 2301
0, 1002, broadcasting, data, 2301
1,1000,received,transaction,2301 
1, 1000, broadcasting, data, 2301
2,1003,received,transaction,2301 
2, 1003, broadcasting, data, 2301
3,1001,received,transaction,2301 
3, 1001, broadcasting, data, 2301
5,1004,received,transaction,2301 
5, 1004, broadcasting, data, 2301
5, 1003,Appended, Transaction, 2302
5, 1003, broadcasting, data, 2302
7,1002,received,transaction,2302 
7, 1002, broadcasting, data, 2302
8,1000,received,transaction,2302 
8, 1000, broadcasting, data, 2302
10,1004,received,transaction,2302 
10, 1004, broadcasting, data, 2302
10,1001,received,transaction,2302 
10, 1001, broadcasting, data, 2302
10, 1000,Appended, Transaction, 2303
10, 1000, broadcasting, data, 2303
11,1002,received,transaction,2303 
11, 1002, broadcasting, data, 2303
13,1003,received,transaction,2303 
13, 1003, broadcasting, data, 2303
14,1004,received,transaction,2303 
14, 1004, broadcasting, data, 2303
14,1001,received,transaction,2303 
14, 1001, broadcasting, data, 2303
15, 1000,Appended, Transaction, 2304
15, 1000, broadcasting, data, 2304
16, 1000, Created, block, 99901
No of blocks in node 1000 is 1
16, 1000, broadcasting, data, 99901
16,1002,received,transaction,2304 
16, 1002, broadcasting, data, 2304
17, 1002, Created, block, 99902
No of blocks in node 1002 is 1
17, 1002, broadcasting, data, 99902
17, 1002, broadcasting, data, 99901
17,1002, received, block, 99901
17,1002, interrupted, block, 99901 
18, 1000, broadcasting, data, 99902
18,1000, received, block, 99902
18,1000, interrupted, block, 99902 
18,1003,received,transaction,2304 
18, 1003, broadcasting, data, 2304
19, 1003, broadcasting, data, 99901
19,1003, received, block, 99901
19,1003, interrupted, block, 99901 
No of blocks in node 1003 is 1
19, 1003, broadcasting, data, 99902
19,1003, received, block, 99902
19,1003, interrupted, block, 99902 
