0,1004, generated, node, -
0,1003, generated, node, -
0,1000, generated, node, -
0,1002, generated, node, -
0,1001, generated, node, -
0, 1002,Appended, Transaction, 2301
0, 1002, broadcasting, data, 2301
1, 1004,Appended, Transaction, 2302
1, 1004, broadcasting, data, 2302
2,1003,received,transaction,2302 
2, 1003, broadcasting, data, 2302
2,1001,received,transaction,2302 
2, 1001, broadcasting, data, 2302
2, 1004,Appended, Transaction, 2303
2, 1004, broadcasting, data, 2303
3,1003,received,transaction,2303 
3, 1003, broadcasting, data, 2303
3,1001,received,transaction,2303 
3, 1001, broadcasting, data, 2303
3, 1000,Appended, Transaction, 2304
3, 1000, broadcasting, data, 2304
4,1000,received,transaction,2301 
4, 1000, broadcasting, data, 2301
4,1001,received,transaction,2301 
4, 1001, broadcasting, data, 2301
4,1000,received,transaction,2302 
4, 1000, broadcasting, data, 2302
4, 1002,Appended, Transaction, 2305
4, 1002, broadcasting, data, 2305
5,1004,received,transaction,2301 
5, 1004, broadcasting, data, 2301
5,1000,received,transaction,2303 
5, 1000, broadcasting, data, 2303
5,1001,received,transaction,2304 
5, 1001, broadcasting, data, 2304
5, 1002,Appended, Transaction, 2306
5, 1002, broadcasting, data, 2306
6,1003,received,transaction,2301 
6, 1003, broadcasting, data, 2301
6,1002,received,transaction,2302 
6, 1002, broadcasting, data, 2302
6,1003,received,transaction,2304 
6, 1003, broadcasting, data, 2304
6,1004,received,transaction,2304 
6, 1004, broadcasting, data, 2304
6, 1004,Appended, Transaction, 2307
6, 1004, broadcasting, data, 2307
7,1002,received,transaction,2303 
7, 1002, broadcasting, data, 2303
7,1002,received,transaction,2304 
7, 1002, broadcasting, data, 2304
7, 1000,Appended, Transaction, 2308
7, 1000, broadcasting, data, 2308
7,1003,received,transaction,2307 
7, 1003, broadcasting, data, 2307
7,1001,received,transaction,2307 
7, 1001, broadcasting, data, 2307
8,1000,received,transaction,2305 
8, 1000, broadcasting, data, 2305
8,1001,received,transaction,2305 
8, 1001, broadcasting, data, 2305
8, 1002,Appended, Transaction, 2309
8, 1002, broadcasting, data, 2309
9,1004,received,transaction,2305 
9, 1004, broadcasting, data, 2305
9, 1000,Appended, Transaction, 2310
9, 1000, broadcasting, data, 2310
9,1000,received,transaction,2306 
9, 1000, broadcasting, data, 2306
9,1001,received,transaction,2306 
9, 1001, broadcasting, data, 2306
9,1001,received,transaction,2308 
9, 1001, broadcasting, data, 2308
9,1000,received,transaction,2307 
9, 1000, broadcasting, data, 2307
10,1003,received,transaction,2305 
10, 1003, broadcasting, data, 2305
10, 1004,Appended, Transaction, 2311
10, 1004, broadcasting, data, 2311
10,1004,received,transaction,2306 
10, 1004, broadcasting, data, 2306
10,1003,received,transaction,2308 
10, 1003, broadcasting, data, 2308
10,1004,received,transaction,2308 
10, 1004, broadcasting, data, 2308
11, 1003,Appended, Transaction, 2312
11, 1003, broadcasting, data, 2312
11,1003,received,transaction,2311 
11, 1003, broadcasting, data, 2311
11,1001,received,transaction,2311 
11, 1001, broadcasting, data, 2311
11,1001,received,transaction,2310 
11, 1001, broadcasting, data, 2310
11,1003,received,transaction,2306 
11, 1003, broadcasting, data, 2306
11,1002,received,transaction,2308 
11, 1002, broadcasting, data, 2308
11,1002,received,transaction,2307 
11, 1002, broadcasting, data, 2307
12, 1002,Appended, Transaction, 2313
12, 1002, broadcasting, data, 2313
12,1004,received,transaction,2312 
12, 1004, broadcasting, data, 2312
12,1003,received,transaction,2310 
12, 1003, broadcasting, data, 2310
12,1004,received,transaction,2310 
12, 1004, broadcasting, data, 2310
12,1000,received,transaction,2309 
12, 1000, broadcasting, data, 2309
12,1001,received,transaction,2309 
12, 1001, broadcasting, data, 2309
13,1001,received,transaction,2312 
13, 1001, broadcasting, data, 2312
13,1000,received,transaction,2311 
13, 1000, broadcasting, data, 2311
13, 1004,Appended, Transaction, 2314
13, 1004, broadcasting, data, 2314
13,1002,received,transaction,2310 
13, 1002, broadcasting, data, 2310
13,1004,received,transaction,2309 
13, 1004, broadcasting, data, 2309
14, 1003,Appended, Transaction, 2315
14, 1003, broadcasting, data, 2315
14,1000,received,transaction,2312 
14, 1000, broadcasting, data, 2312
14,1003,received,transaction,2314 
14, 1003, broadcasting, data, 2314
14,1001,received,transaction,2314 
14, 1001, broadcasting, data, 2314
14,1003,received,transaction,2309 
14, 1003, broadcasting, data, 2309
15,1004,received,transaction,2315 
15, 1004, broadcasting, data, 2315
15,1002,received,transaction,2311 
15, 1002, broadcasting, data, 2311
15, 1001,Appended, Transaction, 2316
15, 1001, broadcasting, data, 2316
16,1001,received,transaction,2315 
16, 1001, broadcasting, data, 2315
16,1000,received,transaction,2313 
16, 1000, broadcasting, data, 2313
16,1001,received,transaction,2313 
16, 1001, broadcasting, data, 2313
16, 1001,Appended, Transaction, 2317
16, 1001, broadcasting, data, 2317
16,1000,received,transaction,2314 
16, 1000, broadcasting, data, 2314
16,1004,received,transaction,2316 
16, 1004, broadcasting, data, 2316
17, 1000,Appended, Transaction, 2318
17, 1000, broadcasting, data, 2318
17,1000,received,transaction,2315 
17, 1000, broadcasting, data, 2315
17,1004,received,transaction,2313 
17, 1004, broadcasting, data, 2313
17,1004,received,transaction,2317 
17, 1004, broadcasting, data, 2317
17,1002,received,transaction,2312 
17, 1002, broadcasting, data, 2312
17,1000,received,transaction,2316 
17, 1000, broadcasting, data, 2316
17,1003,received,transaction,2316 
17, 1003, broadcasting, data, 2316
18, 1000,Appended, Transaction, 2319
18, 1000, broadcasting, data, 2319
18,1003,received,transaction,2313 
18, 1003, broadcasting, data, 2313
18,1000,received,transaction,2317 
18, 1000, broadcasting, data, 2317
18,1003,received,transaction,2317 
18, 1003, broadcasting, data, 2317
18,1002,received,transaction,2314 
18, 1002, broadcasting, data, 2314
19, 1004,Appended, Transaction, 2320
19, 1004, broadcasting, data, 2320
19,1001,received,transaction,2318 
19, 1001, broadcasting, data, 2318
19,1002,received,transaction,2316 
19, 1002, broadcasting, data, 2316
20,1001,received,transaction,2319 
20, 1001, broadcasting, data, 2319
20,1003,received,transaction,2320 
20, 1003, broadcasting, data, 2320
20,1001,received,transaction,2320 
20, 1001, broadcasting, data, 2320
20, 1002,Appended, Transaction, 2321
20, 1002, broadcasting, data, 2321
20,1003,received,transaction,2318 
20, 1003, broadcasting, data, 2318
20,1004,received,transaction,2318 
20, 1004, broadcasting, data, 2318
20,1002,received,transaction,2315 
20, 1002, broadcasting, data, 2315
20,1002,received,transaction,2317 
20, 1002, broadcasting, data, 2317
21,1003,received,transaction,2319 
21, 1003, broadcasting, data, 2319
21,1004,received,transaction,2319 
21, 1004, broadcasting, data, 2319
21, 1004,Appended, Transaction, 2322
21, 1004, broadcasting, data, 2322
21,1002,received,transaction,2318 
21, 1002, broadcasting, data, 2318
21, 1000,Appended, Transaction, 2323
21, 1000, broadcasting, data, 2323
22,1002,received,transaction,2319 
22, 1002, broadcasting, data, 2319
22,1000,received,transaction,2320 
22, 1000, broadcasting, data, 2320
22,1003,received,transaction,2322 
22, 1003, broadcasting, data, 2322
22,1001,received,transaction,2322 
22, 1001, broadcasting, data, 2322
22, 1003,Appended, Transaction, 2324
22, 1003, broadcasting, data, 2324
23,1004,received,transaction,2324 
23, 1004, broadcasting, data, 2324
23,1001,received,transaction,2323 
23, 1001, broadcasting, data, 2323
24, 1001, Created, block, 99901
No of blocks in node 1001 is 1
24, 1001, broadcasting, data, 99901
24,1002,received,transaction,2320 
24, 1002, broadcasting, data, 2320
24, 1003,Appended, Transaction, 2325
24, 1003, broadcasting, data, 2325
24,1000,received,transaction,2322 
24, 1000, broadcasting, data, 2322
24,1000,received,transaction,2321 
24, 1000, broadcasting, data, 2321
24,1001,received,transaction,2321 
24, 1001, broadcasting, data, 2321
24,1001,received,transaction,2324 
24, 1001, broadcasting, data, 2324
24,1003,received,transaction,2323 
24, 1003, broadcasting, data, 2323
24,1004,received,transaction,2323 
24, 1004, broadcasting, data, 2323
25, 1003, Created, block, 99901
No of blocks in node 1003 is 1
25, 1003, broadcasting, data, 99901
25, 1004, broadcasting, data, 99901
25,1004, received, block, 99901
25,1004, interrupted, block, 99901 
No of blocks in node 1004 is 1
25,1004,received,transaction,2325 
25, 1004, broadcasting, data, 2325
25,1004,received,transaction,2321 
25, 1004, broadcasting, data, 2321
25, 1000,Appended, Transaction, 2326
25, 1000, broadcasting, data, 2326
25,1000,received,transaction,2324 
25, 1000, broadcasting, data, 2324
25,1002,received,transaction,2323 
25, 1002, broadcasting, data, 2323
26, 1000, broadcasting, data, 99901
26,1000, received, block, 99901
26,1000, interrupted, block, 99901 
No of blocks in node 1000 is 1
26,1001,received,transaction,2325 
26, 1001, broadcasting, data, 2325
26,1002,received,transaction,2322 
26, 1002, broadcasting, data, 2322
26,1003,received,transaction,2321 
26, 1003, broadcasting, data, 2321
26, 1001,Appended, Transaction, 2327
26, 1001, broadcasting, data, 2327
27, 1002, Created, block, 99901
No of blocks in node 1002 is 1
27, 1002, broadcasting, data, 99901
27,1000,received,transaction,2325 
27, 1000, broadcasting, data, 2325
27, 1003,Appended, Transaction, 2328
27, 1003, broadcasting, data, 2328
27,1001,received,transaction,2326 
27, 1001, broadcasting, data, 2326
27,1004,received,transaction,2327 
27, 1004, broadcasting, data, 2327
28,1004,received,transaction,2328 
28, 1004, broadcasting, data, 2328
28,1003,received,transaction,2326 
28, 1003, broadcasting, data, 2326
28,1004,received,transaction,2326 
28, 1004, broadcasting, data, 2326
28, 1003,Appended, Transaction, 2329
28, 1003, broadcasting, data, 2329
28,1000,received,transaction,2327 
28, 1000, broadcasting, data, 2327
28,1003,received,transaction,2327 
28, 1003, broadcasting, data, 2327
28,1002,received,transaction,2324 
28, 1002, broadcasting, data, 2324
29,1001,received,transaction,2328 
29, 1001, broadcasting, data, 2328
29,1002,received,transaction,2326 
29, 1002, broadcasting, data, 2326
29,1004,received,transaction,2329 
29, 1004, broadcasting, data, 2329
29, 1002,Appended, Transaction, 2330
29, 1002, broadcasting, data, 2330
30,1002,received,transaction,2325 
30, 1002, broadcasting, data, 2325
30,1000,received,transaction,2328 
30, 1000, broadcasting, data, 2328
30,1001,received,transaction,2329 
30, 1001, broadcasting, data, 2329
30,1002,received,transaction,2327 
30, 1002, broadcasting, data, 2327
30, 1003,Appended, Transaction, 2331
30, 1003, broadcasting, data, 2331
31,1000,received,transaction,2329 
31, 1000, broadcasting, data, 2329
31, 1003,Appended, Transaction, 2332
31, 1003, broadcasting, data, 2332
31,1004,received,transaction,2331 
31, 1004, broadcasting, data, 2331
32,1004,received,transaction,2332 
32, 1004, broadcasting, data, 2332
32, 1004,Appended, Transaction, 2333
