103, 2018-11-14T17:27:55.000Z ,4498751,31382,149,38,520036,52987243,0
104, 2018-11-14T17:27:57.000Z ,996451,7369,33,41,520289,53507532,0
105, 2018-11-14T17:27:59.000Z ,1177269,8613,39,12,520543,54028075,0
106, 2018-11-14T17:28:00.000Z ,301918,2610,10,72,520797,54548872,0
107, 2018-11-14T17:28:05.000Z ,2144149,15236,71,97,521051,55069923,0
108, 2018-11-14T17:28:11.000Z ,2839002,19996,94,45,521305,55591228,0
109, 2018-11-14T17:28:14.000Z ,1207928,8819,40,71,521559,56112787,0
110, 2018-11-14T17:28:19.000Z ,2083151,14823,69,117,521813,56634600,0
111, 2018-11-14T17:28:27.000Z ,3442774,24136,114,166,522067,57156667,0
112, 2018-11-14T17:28:38.000Z ,4680401,32625,155,136,522067,57678734,0
113, 2018-11-14T17:28:46.000Z ,3925190,27449,130,18,522321,58201055,0
114, 2018-11-14T17:28:47.000Z ,332193,2817,11,82,522576,58723631,0
115, 2018-11-14T17:28:52.000Z ,2416176,17100,80,176,522831,59246462,0
116, 2018-11-14T17:29:04.000Z ,4680913,32625,155,298,522831,59769293,0
117, 2018-11-14T17:29:23.000Z ,4680529,32624,155,193,522576,60291869,0
118, 2018-11-14T17:29:26.000Z ,4680913,32625,155,66,522831,60814700,0
119, 2018-11-14T17:29:28.000Z ,1690792,12132,56,111,523086,61337786,0
120, 2018-11-14T17:29:35.000Z ,3291655,23102,109,36,523341,61861127,0
121, 2018-11-14T17:29:37.000Z ,966048,7163,32,60,523596,62384723,0
122, 2018-11-14T17:29:41.000Z ,1751534,12544,58,72,523851,62908574,0
123, 2018-11-14T17:29:46.000Z ,2083599,14823,69,45,524106,63432680,0
124, 2018-11-14T17:29:49.000Z ,1298753,9441,43,57,524361,63957041,0
125, 2018-11-14T17:29:53.000Z ,1630114,11718,54,34,524617,64481658,0
126, 2018-11-14T17:29:55.000Z ,966688,7164,32,45,524873,65006531,0
127, 2018-11-14T17:29:58.000Z ,1298561,9440,43,44,525129,65531660,0
128, 2018-11-14T17:30:01.000Z ,1268222,9235,42,45,525385,66057045,0
129, 2018-11-14T17:30:04.000Z ,1298369,9442,43,143,525641,66582686,0
130, 2018-11-14T17:30:13.000Z ,4227620,29520,140,89,525641,67108327,0
131, 2018-11-14T17:30:19.000Z ,2566847,18134,85,150,525897,67634224,0
132, 2018-11-14T17:30:29.000Z ,4439033,30965,147,347,525897,68160121,0
133, 2018-11-14T17:30:52.000Z ,4680657,32626,155,200,525641,68685762,0
134, 2018-11-14T17:30:53.000Z ,4680913,32623,155,118,525897,69211659,0
135, 2018-11-14T17:30:58.000Z ,3381968,23725,112,94,526153,69737812,0
136, 2018-11-14T17:31:04.000Z ,2748177,19377,91,115,526409,70264221,0
137, 2018-11-14T17:31:11.000Z ,3412051,23932,113,127,526666,70790887,0
138, 2018-11-14T17:31:20.000Z ,3684462,25794,122,51,526666,71317553,0
139, 2018-11-14T17:31:23.000Z ,1449552,10476,48,167,526923,71844476,0
140, 2018-11-14T17:31:34.000Z ,4680593,32625,155,71,526923,72371399,0
141, 2018-11-14T17:31:38.000Z ,1993286,14201,66,20,527180,72898579,0
